puma,eviction_filings
03701,16230
03702,24497
03703,9204
03704,16078
03705,57199
03706,38068
03707,46082
03708,47635
03709,36252
03710,47781
03801,33315
03802,17338
03803,36422
03804,29656
03805,9849
03806,14146
03807,14001
03808,6138
03809,17363
03810,6759
03901,2187
03902,3177
03903,15036
04001,11772
04002,7600
04003,24234
04004,11202
04005,6660
04006,16912
04007,23590
04008,39070
04009,12070
04010,24020
04011,19170
04012,3183
04013,4366
04014,5246
04015,21466
04016,8873
04017,6716
04018,12518
04101,13430
04102,8516
04103,8776
04104,1874
04105,5956
04106,11618
04107,13128
04108,6307
04109,6379
04110,4973
04111,6998
04112,24201
04113,3208
04114,19903
