puma,units_threemaintenance,units_threemaintenance_cv,units_threemaintenance_moe,units_threemaintenance_pct,units_threemaintenance_pct_moe,units_occu,units_occu_cv,units_occu_moe
03710,10739,17,3684,23.7,7.8,48975,5,4501
03705,10059,15,2966,21.2,6.7,54465,5,5764
03708,10187,15,3123,25.9,7.3,47437,5,4451
03707,13372,13,3532,34.0,8.5,44371,5,4293
03706,12897,13,3447,29.0,7.2,48960,4,4254
03701,7640,22,3418,20.5,8.4,44406,6,5195
03709,8772,17,2979,15.3,5.0,63908,5,5761
03703,2838,32,1787,6.7,4.2,46612,6,5852
03704,7404,18,2654,19.5,6.3,43959,7,5694
03702,7247,21,3033,18.9,8.1,42872,7,5631
04001,4648,25,2274,9.2,4.4,63929,5,5940
04004,3704,29,2111,7.8,4.5,56127,5,5680
04003,10116,15,3077,23.0,6.7,51147,5,5012
04002,5296,22,2291,14.6,6.1,41757,5,4375
04008,8369,17,2842,17.8,6.2,55299,4,4527
04005,2210,33,1456,5.5,3.6,46708,5,4872
04012,1952,45,1750,5.5,5.0,40484,6,4871
04006,10919,15,3188,27.1,7.5,47014,6,5719
04011,7557,20,2940,20.3,7.4,42047,5,4338
04013,2384,27,1278,5.4,2.7,51616,5,4860
04017,3297,24,1561,5.0,2.4,72626,4,6363
04014,2842,28,1588,7.4,4.1,46289,5,4428
04018,2624,34,1791,5.9,3.8,49360,6,5848
04015,5069,27,2703,9.8,5.3,56802,4,4778
04016,2439,33,1601,4.5,2.9,60806,4,5305
04007,10992,15,3337,30.2,8.5,42111,5,3961
04010,6245,17,2173,15.7,5.1,44389,5,3998
04009,6550,20,2619,10.3,4.1,70847,4,5352
03810,5838,24,2786,7.9,3.7,81269,4,5973
03809,11450,13,2874,17.5,4.1,74126,4,6606
03807,3496,25,1758,4.9,2.5,76644,4,5832
03808,2210,34,1477,3.2,2.1,78147,4,5872
03806,8227,18,2979,9.4,3.4,100685,4,7684
03805,5588,20,2197,5.7,2.2,108733,3,5791
03802,9943,18,3473,23.2,7.3,45353,6,5063
03803,8279,15,2526,16.1,5.0,54495,5,4956
03804,8244,17,2759,18.4,5.9,49173,5,4688
03801,10473,15,3035,15.1,4.4,73371,4,5892
04101,6564,16,2068,9.5,2.9,74745,4,5395
04109,4245,25,2128,8.9,4.5,50871,5,4574
04102,3445,29,1961,7.1,4.0,52941,4,3992
04107,4959,26,2570,10.6,5.3,50463,5,4720
04110,1495,36,1069,2.4,1.7,65620,3,4512
04108,1696,38,1299,4.2,3.1,48786,5,5040
04103,2662,30,1579,3.8,2.2,85967,4,6144
04106,1478,40,1188,3.1,2.5,53760,4,3959
04111,1212,44,1053,3.2,2.8,45627,5,4986
04113,367,102,744,1.0,2.1,38332,5,4082
04104,564,68,761,1.7,2.3,41242,4,3594
04112,6127,22,2654,10.2,4.2,70571,4,5458
04105,2193,33,1432,4.5,3.0,59858,3,4165
04114,3485,29,2046,9.7,5.3,42859,7,5605
03903,4039,28,2272,7.2,4.0,59787,5,5961
03902,463,68,631,1.0,1.4,46584,5,4393
03901,1019,49,989,2.0,2.0,54622,4,4436
