puma,safety_1014_trafficinjuries,safety_1014_trafficinjuries_ped,safety_1014_trafficinjuries_cycle,safety_1014_trafficinjuries_motorist,safety_1014_trafficfatalities,safety_1620_trafficinjuries,safety_1620_trafficinjuries_ped,safety_1620_trafficinjuries_cycle,safety_1620_trafficinjuries_motorist,safety_1620_trafficfatalities
04001,753.28,171.55,166.03,415.69,6.72,784.48,167.07,168.62,448.79,4.48
04002,1165.45,260.61,150.0,754.85,5.15,1226.06,212.42,195.76,817.88,3.33
04003,1279.66,310.51,169.15,800.0,2.03,1321.69,270.85,212.54,838.31,2.71
04004,1094.47,280.53,169.47,644.47,4.74,987.37,212.84,181.26,593.26,1.68
04005,626.53,138.53,105.68,382.32,3.58,598.95,106.32,109.12,383.51,1.75
04006,1857.29,449.83,169.49,1237.97,6.44,2005.51,403.39,199.58,1402.54,2.97
04007,1447.59,310.13,94.18,1043.29,3.54,1552.66,287.85,99.49,1165.32,5.57
04008,1124.0,180.59,52.3,891.11,4.44,1191.26,172.74,64.89,953.63,5.19
04009,652.1,116.39,33.56,502.15,3.8,669.76,105.66,29.85,534.24,3.71
04010,1757.93,291.95,95.63,1370.34,7.59,1591.95,234.48,96.09,1261.38,2.99
04011,1702.44,421.14,144.72,1136.59,6.5,1846.34,345.85,177.56,1322.93,3.41
04012,826.1,220.33,89.29,516.48,3.3,765.93,179.12,112.75,474.07,3.3
04013,523.85,144.81,36.73,342.31,3.08,435.9,108.65,43.59,283.65,1.28
04014,856.94,265.18,106.59,485.18,5.18,759.53,228.24,116.0,415.29,4.24
04015,1264.56,337.72,100.0,826.84,5.06,1164.56,281.52,129.11,753.92,3.29
04016,618.41,177.46,47.3,393.65,5.4,575.0,166.87,61.31,346.83,3.97
04017,671.84,196.31,62.14,413.4,4.47,652.23,178.06,75.53,398.64,5.24
04018,618.11,187.84,50.54,379.73,4.05,591.89,164.05,50.81,377.03,3.24
03701,444.81,135.7,19.49,289.62,2.53,486.5,132.49,26.16,327.85,2.53
03702,581.4,123.72,18.29,439.38,3.41,823.26,132.4,27.13,663.72,3.1
03703,293.98,56.02,9.57,228.4,0.93,328.52,56.3,12.96,259.26,2.1
03704,746.67,158.63,33.14,554.9,3.92,728.63,150.0,33.73,544.9,3.92
03705,1150.75,275.25,63.25,812.25,5.25,1111.2,239.8,84.2,787.2,4.2
03706,1196.89,409.78,52.0,735.11,6.22,1268.33,336.11,79.44,852.78,4.44
03707,1394.27,360.94,54.69,978.65,6.77,1563.19,335.42,139.58,1088.19,5.56
03708,1124.18,326.64,56.15,741.39,5.33,1201.09,306.56,97.81,796.72,4.92
03709,734.91,178.07,43.68,513.16,4.21,641.05,133.33,45.96,461.75,4.21
03710,871.94,216.13,43.06,612.74,3.71,992.9,187.74,85.81,719.35,3.71
04101,684.06,187.81,75.94,420.31,3.12,731.41,157.81,96.09,477.5,2.19
04102,890.89,209.31,110.3,571.29,4.36,821.19,175.05,116.04,530.1,4.16
04103,332.99,103.75,18.19,211.04,1.6,399.58,101.25,26.46,271.88,2.43
04104,194.32,40.5,6.92,146.9,1.55,162.4,33.75,7.85,120.8,0.83
04105,416.77,41.29,9.28,366.2,1.79,472.41,41.64,7.64,423.13,1.49
04106,457.25,92.8,16.19,348.25,2.33,424.13,83.7,16.61,323.81,1.48
04107,657.29,182.08,78.54,396.67,3.54,551.56,150.26,82.29,319.01,3.12
04108,447.95,147.5,32.05,268.41,2.95,440.23,130.68,29.77,279.77,2.27
04109,660.26,133.73,71.63,454.9,4.05,656.34,108.89,76.34,471.11,3.27
04110,477.37,112.34,34.01,331.02,2.99,523.23,97.25,57.72,368.26,2.75
04111,661.72,138.44,46.56,476.72,4.38,578.91,114.84,35.31,428.75,2.03
04112,661.76,125.52,26.21,510.04,2.38,736.11,118.68,26.63,590.8,2.2
04113,572.55,83.35,19.75,469.44,3.35,613.79,87.2,23.6,502.98,3.85
04114,273.52,54.88,16.86,201.78,1.18,278.93,55.98,15.5,207.46,1.54
03901,175.51,19.39,1.92,154.19,0.91,146.87,17.17,2.78,126.92,0.81
03902,278.66,33.25,3.53,241.88,1.4,264.38,34.29,5.05,225.05,1.09
03903,334.9,65.44,11.36,258.1,2.04,312.24,58.3,14.22,239.73,1.02
03801,985.65,310.19,82.41,593.06,4.63,838.89,230.56,101.11,507.22,3.06
03802,1049.44,305.0,119.44,625.0,7.22,847.22,210.56,142.22,494.44,4.44
03803,1321.86,386.51,142.79,792.56,6.98,1465.12,337.21,252.91,875.0,6.98
03804,1068.0,331.33,86.33,650.33,7.67,1044.33,276.0,136.33,632.0,5.33
03805,1039.67,400.98,147.21,491.48,7.87,828.52,278.36,152.13,398.03,6.23
03806,829.21,312.38,133.33,383.49,7.62,685.71,226.67,142.22,316.83,6.35
03807,1863.72,767.91,298.14,797.67,8.84,1448.37,503.26,298.37,646.74,9.3
03808,1750.57,677.36,266.42,806.79,7.17,1545.28,458.49,303.77,783.02,4.91
03809,1273.45,474.83,275.52,523.1,6.9,1104.31,315.09,260.34,528.88,7.33
03810,1044.47,398.51,184.26,461.7,3.4,1016.22,307.71,201.6,506.91,3.46
